,index,Company,Adj Close
174,2020-08-27,MSFT,225.98046872
175,2020-08-26,MSFT,220.564836515
176,2020-08-25,MSFT,215.897219807
177,2020-08-24,MSFT,213.124575695
178,2020-08-21,MSFT,212.456348516
179,2020-08-20,MSFT,214.012220752
180,2020-08-19,MSFT,209.145133245
181,2020-08-18,MSFT,210.418649113
182,2020-08-17,MSFT,209.214778644
183,2020-08-14,MSFT,207.841769349
184,2020-08-13,MSFT,207.642782495
185,2020-08-12,MSFT,208.130300288
186,2020-08-11,MSFT,202.34973217
187,2020-08-10,MSFT,207.195062073
188,2020-08-07,MSFT,211.403634042
189,2020-08-06,MSFT,215.254029673
190,2020-08-05,MSFT,211.861303807
191,2020-08-04,MSFT,212.209530802
192,2020-08-03,MSFT,215.443067185
193,2020-07-31,MSFT,203.971475033
194,2020-07-30,MSFT,202.867097991
195,2020-07-29,MSFT,203.026287474
196,2020-07-28,MSFT,200.99662156
197,2020-07-27,MSFT,202.817351277
198,2020-07-24,MSFT,200.280268885
199,2020-07-23,MSFT,201.513987382
200,2020-12-11,AMZN,3116.42
201,2020-12-10,AMZN,3101.49
202,2020-12-09,AMZN,3104.2
203,2020-12-08,AMZN,3177.29
204,2020-12-07,AMZN,3158.0
205,2020-12-04,AMZN,3162.58
206,2020-12-03,AMZN,3186.73
207,2020-12-02,AMZN,3203.53
208,2020-12-01,AMZN,3220.08
209,2020-11-30,AMZN,3168.04
210,2020-11-27,AMZN,3195.34
211,2020-11-25,AMZN,3185.07
212,2020-11-24,AMZN,3118.06
213,2020-11-23,AMZN,3098.39
214,2020-11-20,AMZN,3099.4
215,2020-11-19,AMZN,3117.02
216,2020-11-18,AMZN,3105.46
217,2020-11-17,AMZN,3135.66
218,2020-11-16,AMZN,3131.06
219,2020-11-13,AMZN,3128.81
220,2020-11-12,AMZN,3110.28
221,2020-11-11,AMZN,3137.39
222,2020-11-10,AMZN,3035.02
223,2020-11-09,AMZN,3143.74
224,2020-11-06,AMZN,3311.37
225,2020-11-05,AMZN,3322.0
226,2020-11-04,AMZN,3241.16
227,2020-11-03,AMZN,3048.41
228,2020-11-02,AMZN,3004.48
229,2020-10-30,AMZN,3036.15
230,2020-10-29,AMZN,3211.01
231,2020-10-28,AMZN,3162.78
232,2020-10-27,AMZN,3286.33
233,2020-10-26,AMZN,3207.04
234,2020-10-23,AMZN,3204.4
235,2020-10-22,AMZN,3176.4
236,2020-10-21,AMZN,3184.94
237,2020-10-20,AMZN,3217.01
238,2020-10-19,AMZN,3207.21
239,2020-10-16,AMZN,3272.71
240,2020-10-15,AMZN,3338.65
241,2020-10-14,AMZN,3363.71
242,2020-10-13,AMZN,3443.63
243,2020-10-12,AMZN,3442.93
244,2020-10-09,AMZN,3286.65
245,2020-10-08,AMZN,3190.55
246,2020-10-07,AMZN,3195.69
247,2020-10-06,AMZN,3099.96
248,2020-10-05,AMZN,3199.2
249,2020-10-02,AMZN,3125.0
250,2020-10-01,AMZN,3221.26
251,2020-09-30,AMZN,3148.73
252,2020-09-29,AMZN,3144.88
253,2020-09-28,AMZN,3174.05
254,2020-09-25,AMZN,3095.13
255,2020-09-24,AMZN,3019.79
256,2020-09-23,AMZN,2999.86
257,2020-09-22,AMZN,3128.99
258,2020-09-21,AMZN,2960.47
259,2020-09-18,AMZN,2954.91
260,2020-09-17,AMZN,3008.73
261,2020-09-16,AMZN,3078.1
262,2020-09-15,AMZN,3156.13
263,2020-09-14,AMZN,3102.97
264,2020-09-11,AMZN,3116.22
265,2020-09-10,AMZN,3175.11
266,2020-09-09,AMZN,3268.61
267,2020-09-08,AMZN,3149.84
268,2020-09-04,AMZN,3294.62
269,2020-09-03,AMZN,3368.0
270,2020-09-02,AMZN,3531.45
271,2020-09-01,AMZN,3499.12
272,2020-08-31,AMZN,3450.96
273,2020-08-28,AMZN,3401.8
274,2020-08-27,AMZN,3400.0
275,2020-08-26,AMZN,3441.85
276,2020-08-25,AMZN,3346.49
277,2020-08-24,AMZN,3307.46
