,AAPL,MSFT,AMZN,TSLA,AAPL_returns,MSFT_returns,AMZN_returns,TSLA_returns
2020-11-13,119.26,215.937113967,3128.81,408.5,0.04194279003440263,0.49665800214931294,0.5957662975680564,-0.7917233339809575
2020-11-12,119.21,214.86994519,3110.28,411.76,-0.23432923257176427,-0.5125836988856766,-0.8640940399503941,-1.2873684462877293
2020-11-11,119.49,215.977008127,3137.39,417.13,3.035267741657322,2.6254679871329234,3.3729596510072386,1.6497709328394536
2020-11-10,115.97,210.451666982,3035.02,410.36,-0.30089408528197586,-3.37927560764273,-3.4583012590099633,-2.5874756682333895
2020-11-09,116.32,217.812139482,3143.74,421.26,-1.996798382340555,-2.3824423386842244,-5.062255199509572,-2.0211652517734615
2020-11-06,118.69,223.128036288,3311.37,429.95,-0.11341678602818095,0.19257467873101272,-0.31998795906081,-1.8580656942637326
2020-11-05,118.824767232,222.699174069,3322.0,438.09,3.549369291512351,3.188687092874861,2.4941687543965787,4.064326096251593
2020-11-04,114.75180201,215.817431487,3241.16,420.98,4.0836653387222155,4.824880104317252,6.322968367115972,-0.6888417079499786
2020-11-03,110.249578199,205.883785674,3048.41,423.9,1.5353498201941995,2.026392526981057,1.462149856214714,5.8400539312376685
2020-11-02,108.582457631,201.794634285,3004.48,400.51,-0.08267499535098541,-0.06914604601616942,-1.0430973436753805,3.2135862282238867
2020-10-30,108.672302452,201.934263844,3036.15,388.04,-5.601803676244155,-1.099062133624856,-5.445638599692935,-5.547306671859397
2020-10-29,115.121164052,204.178310338,3211.01,410.83,3.7050359712369576,1.0065127291263574,1.5249242754791674,1.1846707058765584
2020-10-28,111.008267799,202.143708184,3162.78,406.02,-4.631217839075942,-4.956623681104457,-3.75951289127993,-4.393896580955078
2020-10-27,116.398957063,212.685739936,3286.33,424.68,1.3472403304482115,1.5089489720062743,2.472373278786668,1.0469211002189098
2020-10-26,114.851629589,209.524127764,3207.04,420.28,0.008692628741803946,-2.8441936827773606,0.08238671826238524,-0.08320852055250999
2020-10-23,114.841646831,215.657854848,3204.4,420.63,-0.6133909290803158,0.6235748525057486,0.8815010703941568,-1.2118650038751555
2020-10-22,115.550422642,214.321400491,3176.4,425.79,-0.9583297678540998,0.04189944098508352,-0.268136919376816,0.7453151618398718
2020-10-21,116.668491526,214.231638632,3184.94,422.64,-0.5446344989210471,0.06988120214208508,-0.99688841501892,0.16590036498080027
2020-10-20,117.307388031,214.082035532,3217.01,421.94,1.3191929642829665,0.20072822338646767,0.30556153167395284,-2.0634589049044836
2020-10-19,115.780026073,213.653173313,3207.21,430.83,-2.5541925732854356,-2.4765546755849117,-2.0013994518304403,-2.010598858234592
2020-10-16,118.814784474,219.078779059,3272.71,439.67,-1.4000497056084766,0.0,-1.9750497955760578,-2.051773302441628
2020-10-15,120.501870558,219.078779059,3338.65,448.88,-0.39607228320021215,-0.5433306167588132,-0.7450107173329432,-2.6923910687188415
2020-10-14,120.981042937,220.275603856,3363.71,461.3,0.07431874478883901,-0.8974243916777089,-2.3208068230326737,3.279973133325878
2020-10-13,120.891198116,222.27031185,3443.63,446.65,-2.652733119319309,0.6594399276711704,0.020331519955394763,0.9834953651367773
2020-10-12,124.185508222,220.814175014,3442.93,442.3,6.352056083234643,2.590241415962983,4.754993686580552,1.9124423963133668
2020-10-09,116.768319105,215.238966169,3286.65,434.0,1.7395842392578873,2.4836166776680124,3.0120198711820816,1.89706987227648
2020-10-08,114.771767526,210.022804763,3190.55,425.92,-0.09558567965609888,0.3574322070169692,-0.16084163357521764,0.14577944980014215
2020-10-07,114.881577863,209.274789265,3195.69,425.3,1.6967126193339053,1.9037443545123711,3.0881043626369378,2.7344316150538654
2020-10-06,112.964888347,205.365161595,3099.96,413.98,-2.8669527895810423,-2.1247266849673494,-3.1020255063765876,-2.74854350685961
2020-10-05,116.299129484,209.823333963,3199.2,425.68,3.0791010443585027,2.0321063097606853,2.3743999999999943,2.551253944927614
2020-10-02,112.825129736,205.644420714,3125.0,415.09,-3.228016097568396,-2.951143744981155,-2.988271670091834,-7.379061049625145
