,index,Company,Volume
284,2020-08-13,AMZN,3149043
285,2020-08-12,AMZN,3527229
286,2020-08-11,AMZN,3718057
287,2020-08-10,AMZN,3167274
288,2020-08-07,AMZN,3936127
289,2020-08-06,AMZN,3940602
290,2020-08-05,AMZN,3930025
291,2020-08-04,AMZN,4694294
292,2020-08-03,AMZN,5074663
293,2020-07-31,AMZN,8083369
294,2020-07-30,AMZN,6128265
295,2020-07-29,AMZN,2974060
296,2020-07-28,AMZN,3126651
297,2020-07-27,AMZN,4170492
298,2020-07-24,AMZN,5632413
299,2020-07-23,AMZN,5656906
300,2020-12-11,TSLA,46474974
301,2020-12-10,TSLA,67083153
302,2020-12-09,TSLA,71291190
303,2020-12-08,TSLA,64265029
304,2020-12-07,TSLA,56309709
305,2020-12-04,TSLA,29401314
306,2020-12-03,TSLA,42552003
307,2020-12-02,TSLA,47775653
308,2020-12-01,TSLA,39133346
309,2020-11-30,TSLA,63003052
310,2020-11-27,TSLA,37561078
311,2020-11-25,TSLA,48930162
312,2020-11-24,TSLA,52058771
313,2020-11-23,TSLA,50260304
314,2020-11-20,TSLA,32911922
315,2020-11-19,TSLA,62475346
316,2020-11-18,TSLA,78044024
317,2020-11-17,TSLA,61188281
318,2020-11-16,TSLA,26838635
319,2020-11-13,TSLA,19830351
320,2020-11-12,TSLA,19940500
321,2020-11-11,TSLA,17357722
322,2020-11-10,TSLA,30284224
323,2020-11-09,TSLA,34833025
324,2020-11-06,TSLA,21706014
325,2020-11-05,TSLA,28414523
326,2020-11-04,TSLA,32143057
327,2020-11-03,TSLA,34351715
328,2020-11-02,TSLA,29021118
329,2020-10-30,TSLA,42587639
330,2020-10-29,TSLA,22655308
331,2020-10-28,TSLA,25451409
332,2020-10-27,TSLA,22686506
333,2020-10-26,TSLA,28239161
334,2020-10-23,TSLA,33716980
335,2020-10-22,TSLA,39993191
336,2020-10-21,TSLA,32370461
337,2020-10-20,TSLA,31656289
338,2020-10-19,TSLA,36287843
339,2020-10-16,TSLA,32775879
340,2020-10-15,TSLA,35672354
341,2020-10-14,TSLA,48045394
342,2020-10-13,TSLA,34463665
343,2020-10-12,TSLA,38791133
344,2020-10-09,TSLA,28925656
345,2020-10-08,TSLA,40421116
346,2020-10-07,TSLA,43127709
347,2020-10-06,TSLA,49146259
348,2020-10-05,TSLA,44722786
349,2020-10-02,TSLA,71430025
350,2020-10-01,TSLA,50741454
351,2020-09-30,TSLA,48145566
352,2020-09-29,TSLA,50341404
353,2020-09-28,TSLA,49719561
354,2020-09-25,TSLA,67208459
355,2020-09-24,TSLA,96561061
356,2020-09-23,TSLA,95074176
357,2020-09-22,TSLA,79580795
358,2020-09-21,TSLA,109476800
359,2020-09-18,TSLA,86406819
360,2020-09-17,TSLA,76779163
361,2020-09-16,TSLA,72546760
362,2020-09-15,TSLA,97298228
363,2020-09-14,TSLA,83020608
364,2020-09-11,TSLA,60717459
365,2020-09-10,TSLA,84930608
366,2020-09-09,TSLA,79465769
367,2020-09-08,TSLA,115465691
368,2020-09-04,TSLA,110321885
369,2020-09-03,TSLA,87596086
370,2020-09-02,TSLA,96176128
371,2020-09-01,TSLA,90119419
372,2020-08-31,TSLA,115847020
373,2020-08-28,TSLA,20081176
374,2020-08-27,TSLA,23693043
375,2020-08-26,TSLA,14239382
376,2020-08-25,TSLA,10658893
377,2020-08-24,TSLA,20063621
378,2020-08-21,TSLA,21489559
379,2020-08-20,TSLA,20611796
380,2020-08-19,TSLA,12205331
381,2020-08-18,TSLA,16474491
382,2020-08-17,TSLA,20023104
383,2020-08-14,TSLA,12577614
384,2020-08-13,TSLA,20425308
385,2020-08-12,TSLA,21898834
386,2020-08-11,TSLA,8625834
387,2020-08-10,TSLA,7522264
388,2020-08-07,TSLA,8896420
389,2020-08-06,TSLA,5992313
390,2020-08-05,TSLA,4978015
391,2020-08-04,TSLA,8414990
392,2020-08-03,TSLA,8809346
393,2020-07-31,TSLA,12246960
394,2020-07-30,TSLA,7621039
395,2020-07-29,TSLA,9426893
396,2020-07-28,TSLA,15808700
397,2020-07-27,TSLA,16048669
398,2020-07-24,TSLA,19396616
399,2020-07-23,TSLA,24328504
