,index,Company,Price
53,2020-09-28,AAPL,114.761784768
54,2020-09-25,AAPL,112.086405652
55,2020-09-24,AAPL,108.033405946
56,2020-09-23,AAPL,106.935302578
57,2020-09-22,AAPL,111.617216031
58,2020-09-21,AAPL,109.890198915
59,2020-09-18,AAPL,106.655785357
60,2020-09-17,AAPL,110.14975062
61,2020-09-16,AAPL,111.936664284
62,2020-09-15,AAPL,115.340784726
63,2020-09-14,AAPL,115.156103705
64,2020-09-11,AAPL,111.806888431
65,2020-09-10,AAPL,113.294319357
66,2020-09-09,AAPL,117.117715631
67,2020-09-08,AAPL,112.625474578
68,2020-09-04,AAPL,120.751439505
69,2020-09-03,AAPL,120.671577442
70,2020-09-02,AAPL,131.173438748
71,2020-09-01,AAPL,133.948645443
72,2020-08-31,AAPL,128.817507885
73,2020-08-28,AAPL,124.592305606
74,2020-08-27,AAPL,124.794456453
75,2020-08-26,AAPL,126.304348585
76,2020-08-25,AAPL,124.609775432
77,2020-08-24,AAPL,125.640495185
78,2020-08-21,AAPL,124.155559948
79,2020-08-20,AAPL,118.07106901
80,2020-08-19,AAPL,115.507995921
81,2020-08-18,AAPL,115.363245931
82,2020-08-17,AAPL,114.409892552
83,2020-08-14,AAPL,114.709375289
84,2020-08-13,AAPL,114.811698558
85,2020-08-12,AAPL,112.815146978
86,2020-08-11,AAPL,109.186414483
87,2020-08-10,AAPL,112.533134068
88,2020-08-07,AAPL,110.920918668
