,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
43,2020-10-12,AAPL,124.18550822200001,124.18550822200001,119.2845,125.18,240226769,6.352056083234656
44,2020-10-09,AAPL,116.768319105,116.768319105,114.92,117.0,100506865,1.7395842392578873
45,2020-10-08,AAPL,114.771767526,114.771767526,114.5901,116.4,83477153,-0.09558567965608651
46,2020-10-07,AAPL,114.88157786299999,114.88157786299999,114.13,115.55,96848985,1.69671261933388
47,2020-10-06,AAPL,112.96488834700001,112.96488834700001,112.25,116.12,161498212,-2.866952789581018
48,2020-10-05,AAPL,116.29912948399999,116.29912948399999,113.55,116.65,106243839,3.079101044358477
49,2020-10-02,AAPL,112.82512973600001,112.82512973600001,112.22,115.37,144711986,-3.2280160975683723
50,2020-10-01,AAPL,116.58862946299999,116.58862946299999,115.83,117.72,116120440,0.8462136259659062
51,2020-09-30,AAPL,115.610319189,115.610319189,113.62,117.26,142675184,1.5075817336797384
52,2020-09-29,AAPL,113.893284831,113.893284831,113.57,115.31,100060526,-0.7567849687557029
53,2020-09-28,AAPL,114.761784768,114.761784768,112.78,115.32,137672403,2.3868899180390923
54,2020-09-25,AAPL,112.08640565200001,112.08640565200001,107.67,112.44,149981441,3.751617076690039
55,2020-09-24,AAPL,108.033405946,108.033405946,105.0,110.25,167743349,1.0268857351378795
56,2020-09-23,AAPL,106.93530257799999,106.93530257799999,106.77,112.11,150718671,-4.194615866157848
57,2020-09-22,AAPL,111.617216031,111.617216031,109.16,112.86,183055373,1.5715843023779086
58,2020-09-21,AAPL,109.890198915,109.890198915,103.1,110.19,195713815,3.0325720702104464
59,2020-09-18,AAPL,106.65578535700001,106.65578535700001,106.09,110.88,287104882,-3.1720137751865143
60,2020-09-17,AAPL,110.14975062,110.14975062,108.71,112.2,178010968,-1.5963613668764778
61,2020-09-16,AAPL,111.936664284,111.936664284,112.04,116.0,155026675,-2.9513588364139625
62,2020-09-15,AAPL,115.34078472600001,115.34078472600001,113.61,118.829,184642039,0.16037449606067578
63,2020-09-14,AAPL,115.156103705,115.156103705,112.8,115.93,140150087,2.9955357143016474
64,2020-09-11,AAPL,111.806888431,111.806888431,110.0,115.23,180860325,-1.3128910032223071
