,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-08-06,441.62,457.65,439.19,455.61,113.496709309,50607225,0.0000,1.0,212.34,216.3705,211.55,216.35,215.254029673,32656843,0.0000,1.0,3194.36,3247.47,3165.43,3225.0,3225.0,3940602,0.0000,1.0,1490.83,1517.31,1477.26,1489.58,297.916,5992313,0.0000,1.0
2020-08-05,437.51,441.57,435.59,440.25,109.670389749,30497988,0.0000,1.0,214.9,215.0,211.57,212.94,211.861303807,28858621,0.0000,1.0,3143.77,3213.5859,3127.3,3205.03,3205.03,3930025,0.0000,1.0,1492.99,1499.8384,1468.31,1485.02,297.004,4978015,0.0000,1.0
2020-08-04,436.53,443.16,433.55,438.66,109.274305888,43198092,0.0000,1.0,214.17,214.77,210.31,213.29,212.209530802,49280056,0.0000,1.0,3101.21,3167.24,3101.21,3138.83,3138.83,4694294,0.0000,1.0,1495.01,1527.41,1462.0,1487.0,297.4,8414990,0.0000,1.0
2020-08-03,432.8,446.5457,431.57,435.75,108.54939769,77037847,0.0000,1.0,211.52,217.64,210.44,216.54,215.443067185,78983009,0.0000,1.0,3180.51,3184.0,3104.0,3111.89,3111.89,5074663,0.0000,1.0,1449.2,1509.8101,1444.3844,1485.0,297.0,8809346,0.0000,1.0
2020-07-31,411.535,425.66,403.3,425.04,105.88143659,93573867,0.0000,1.0,204.4,205.1,199.01,205.01,203.971475033,51247969,0.0000,1.0,3244.0,3246.82,3151.0,3164.68,3164.68,8083369,0.0000,1.0,1515.0,1517.05,1420.98,1430.76,286.152,12246960,0.0000,1.0
2020-07-30,376.75,385.19,375.07,384.76,95.8473121176,39532505,0.0000,1.0,201.0,204.46,199.57,203.9,202.867097991,25079596,0.0000,1.0,3014.0,3092.0,3005.0,3051.88,3051.88,6128265,0.0000,1.0,1488.0,1513.24,1471.0,1487.49,297.498,7621039,0.0000,1.0
2020-07-29,375.0,380.92,374.85,380.16,94.7014091242,22582314,0.0000,1.0,202.5,204.65,202.01,204.06,203.026287474,19632602,0.0000,1.0,3030.99,3039.1592,2996.77,3033.53,3033.53,2974060,0.0000,1.0,1501.0,1534.81,1487.0,1499.11,299.822,9426893,0.0000,1.0
2020-07-28,377.47,378.1986,372.99,373.01,92.9202772975,25906375,0.0000,1.0,203.61,204.7,201.74,202.02,200.99662156,23251388,0.0000,1.0,3054.27,3077.0926,2995.76,3000.33,3000.33,3126651,0.0000,1.0,1504.0,1564.7,1474.42,1476.49,295.298,15808700,0.0000,1.0
2020-07-27,374.84,379.62,373.92,379.24,94.4722285255,30303548,0.0000,1.0,201.47,203.97,200.86,203.85,202.817351277,30160867,0.0000,1.0,3062.0,3098.0,3015.77,3055.21,3055.21,4170492,0.0000,1.0,1435.0,1547.94,1413.0003,1539.6,307.92,16048669,0.0000,1.0
2020-07-24,363.95,371.88,356.58,370.46,92.2850484642,46359716,0.0000,1.0,200.42,202.86,197.51,201.3,200.280268885,39826989,0.0000,1.0,2930.0,3031.58,2888.0,3008.91,3008.91,5632413,0.0000,1.0,1416.01,1465.0,1366.5401,1417.0,283.4,19396616,0.0000,1.0
2020-07-23,387.9935,388.31,368.039,371.38,92.5142290629,49251108,0.0000,1.0,207.19,210.92,202.15,202.54,201.513987382,67457035,0.0000,1.0,3098.2713,3098.2713,2970.0,2986.55,2986.55,5656906,0.0000,1.0,1678.95,1689.0,1480.77,1513.07,302.614,24328504,0.0000,1.0
